Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Biped Locomotion","Communications and Control Engineering Series","","","","10.1007/978-3-642-83006-8","Professor Miomir Vukobratović D. Sc., Ph. D.Assoc. professor Branislav Borovac Ph. D.Assoc. professor Dušan Surla Ph. D.Assoc. professor Dragan Stokić Ph. D.","1990","http://link.springer.com/book/10.1007/978-3-642-83006-8","Book"
"MOS Switched-Capacitor and Continuous-Time Integrated Circuits and Systems","Communications and Control Engineering Series","","","","10.1007/978-3-642-83677-0","Prof. Dr.-Ing. Rolf UnbehauenDr.-Ing. Andrzej Cichocki","1989","http://link.springer.com/book/10.1007/978-3-642-83677-0","Book"
"Control of Linear Systems with Regulation and Input Constraints","Communications and Control Engineering","","","","10.1007/978-1-4471-0727-9","A. SaberiA. StoorvogelP. Sannuti","2000","http://link.springer.com/book/10.1007/978-1-4471-0727-9","Book"
"Stability Theory of Switched Dynamical Systems","Communications and Control Engineering","","","","10.1007/978-0-85729-256-8","Zhendong SunShuzhi Sam Ge","2011","http://link.springer.com/book/10.1007/978-0-85729-256-8","Book"
"Real-Time Dynamics of Manipulation Robots","Communications and Control Engineering Series","","","","10.1007/978-3-642-82198-1","D.Sc., Ph. D. Miomir VukobratovićPh. D. Nenad Kirćanski","1985","http://link.springer.com/book/10.1007/978-3-642-82198-1","Book"
"Sampled-Data Models for Linear and Nonlinear Systems","Communications and Control Engineering","","","","10.1007/978-1-4471-5562-1","Juan I. YuzGraham C. Goodwin","2014","http://link.springer.com/book/10.1007/978-1-4471-5562-1","Book"
"Robust Control","Communications and Control Engineering Series","","","","10.1007/978-1-4471-3365-0","Jürgen Ackermann Prof. Dr.-lng.Dieter Kaesbauer Dr.techn.Wolfgang Sienel Dipl.-Ing.Reinhold Steinhauser Dipl.-Ing.Andrew Bartlett PhD","1993","http://link.springer.com/book/10.1007/978-1-4471-3365-0","Book"
"Robust Filtering for Uncertain Systems","Communications and Control Engineering","","","","10.1007/978-3-319-05903-7","Huijun GaoXianwei Li","2014","http://link.springer.com/book/10.1007/978-3-319-05903-7","Book"
"The Riccati Equation","Communications and Control Engineering Series","","","","10.1007/978-3-642-58223-3","Sergio BittantiAlan J. LaubJan C. Willems","1991","http://link.springer.com/book/10.1007/978-3-642-58223-3","Book"
"Congestion Control in Data Transmission Networks","Communications and Control Engineering","","","","10.1007/978-1-4471-4147-1","Przemysław IgnaciukAndrzej Bartoszewicz","2013","http://link.springer.com/book/10.1007/978-1-4471-4147-1","Book"
"Non-Adaptive and Adaptive Control of Manipulation Robots","Communications and Control Engineering Series","","","","10.1007/978-3-642-82201-8","D. Sc, Ph. D. Miomir VukobratovićPh. D. Dragan StokićPh. D. Nenad Kirćanski","1985","http://link.springer.com/book/10.1007/978-3-642-82201-8","Book"
"Nonlinear Control Systems","Communications and Control Engineering Series","","","","10.1007/978-3-662-02581-9","Prof. Alberto Isidori","1989","http://link.springer.com/book/10.1007/978-3-662-02581-9","Book"
"Passivity-based Control of Euler-Lagrange Systems","Communications and Control Engineering","","","","10.1007/978-1-4471-3603-3","Romeo Ortega PhDAntonio Loría PhDPer Johan Nicklasson Dr IngHebertt Sira-Ramírez PhD","1998","http://link.springer.com/book/10.1007/978-1-4471-3603-3","Book"
"S-Variable Approach to LMI-Based Robust Control","Communications and Control Engineering","","","","10.1007/978-1-4471-6606-1","Yoshio EbiharaDimitri PeaucelleDenis Arzelier","2015","http://link.springer.com/book/10.1007/978-1-4471-6606-1","Book"
"Optimization and Dynamical Systems","Communications and Control Engineering","","","","10.1007/978-1-4471-3467-1","Uwe Helmke PhDJohn B. Moore PhD","1994","http://link.springer.com/book/10.1007/978-1-4471-3467-1","Book"
"Randomized Algorithms for Analysis and Control of Uncertain Systems","Communications and Control Engineering","","","","10.1007/978-1-4471-4610-0","Roberto TempoGiuseppe CalafioreFabrizio Dabbene","2013","http://link.springer.com/book/10.1007/978-1-4471-4610-0","Book"
"Applied Dynamics and CAD of Manipulation Robots","Communications and Control Engineering Series","","","","10.1007/978-3-642-82204-9","D. Sc., Ph. D. Miomir VukobratovićPh. D. Veljko Potkonjak","1985","http://link.springer.com/book/10.1007/978-3-642-82204-9","Book"
"Parametrizations in Control, Estimation and Filtering Problems: Accuracy Aspects","Communications and Control Engineering","","","","10.1007/978-1-4471-2039-1","Michel Gevers PhDGang Li PhD","1993","http://link.springer.com/book/10.1007/978-1-4471-2039-1","Book"
"Adaptive Control","Communications and Control Engineering","","","","10.1007/978-0-85729-664-1","Ioan Doré LandauRogelio LozanoMohammed M'SaadAlireza Karimi","2011","http://link.springer.com/book/10.1007/978-0-85729-664-1","Book"
"Stability and Stabilization of Infinite Dimensional Systems with Applications","Communications and Control Engineering","","","","10.1007/978-1-4471-0419-3","Zheng-Hua LuoBao-Zhu GuoOmer Morgul","1999","http://link.springer.com/book/10.1007/978-1-4471-0419-3","Book"
