Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Séminaire de Probabilités VI Université de Strasbourg","Lecture Notes in Mathematics","","","","10.1007/BFb0059457","","1972","http://link.springer.com/book/10.1007/BFb0059457","Book"
"Geometry Seminar “Luigi Bianchi”","Lecture Notes in Mathematics","","","","10.1007/BFb0071599","Edoardo Vesentini","1983","http://link.springer.com/book/10.1007/BFb0071599","Book"
"The Dirichlet Problem with L2-Boundary Data for Elliptic Linear Equations","Lecture Notes in Mathematics","","","","10.1007/BFb0095750","Jan Chabrowski","1991","http://link.springer.com/book/10.1007/BFb0095750","Book"
"Unstable Homotopy from the Stable Point of View","Lecture Notes in Mathematics","","","","10.1007/BFb0070455","R. James Milgram","1974","http://link.springer.com/book/10.1007/BFb0070455","Book"
"Large-time Behavior of Solutions of Linear Dispersive Equations","Lecture Notes in Mathematics","","","","10.1007/BFb0093368","Daniel B. Dix","1997","http://link.springer.com/book/10.1007/BFb0093368","Book"
"Abelian Group Theory","Lecture Notes in Mathematics","","","","10.1007/BFb0103695","Rüdiger GöbelLee LadyAdolf Mader","1983","http://link.springer.com/book/10.1007/BFb0103695","Book"
"Propagation of Singularities for Fuchsian Operators","Lecture Notes in Mathematics","","","","10.1007/BFb0065383","Antonio BoveJeff E. LewisCesare Parenti","1983","http://link.springer.com/book/10.1007/BFb0065383","Book"
"Algebraic K-Theory","Lecture Notes in Mathematics","","","","10.1007/BFb0061896","R. Keith Dennis","1982","http://link.springer.com/book/10.1007/BFb0061896","Book"
"Numerical Analysis","Lecture Notes in Mathematics","","","","10.1007/BFb0099514","David F. Griffiths","1984","http://link.springer.com/book/10.1007/BFb0099514","Book"
"Cônes autopolaires et algèbres de Jordan","Lecture Notes in Mathematics","","","","10.1007/BFb0071358","Bruno Iochum","1984","http://link.springer.com/book/10.1007/BFb0071358","Book"
"The Atiyah-Singer Index Theorem","Lecture Notes in Mathematics","","","","10.1007/BFb0068264","Patrick Shanahan","1978","http://link.springer.com/book/10.1007/BFb0068264","Book"
"Complex Analysis","Lecture Notes in Mathematics","","","","10.1007/BFb0096815","James D. BuckholtzTeddy J. Suffridge","1977","http://link.springer.com/book/10.1007/BFb0096815","Book"
"Complexe Cotangent et Déformations I","Lecture Notes in Mathematics","","","","10.1007/BFb0059052","Luc Illusie","1971","http://link.springer.com/book/10.1007/BFb0059052","Book"
"Around Classification Theory of Models","Lecture Notes in Mathematics","","","","10.1007/BFb0098503","Saharon Shelah","1986","http://link.springer.com/book/10.1007/BFb0098503","Book"
"Global Theory of Dynamical Systems","Lecture Notes in Mathematics","","","","10.1007/BFb0086975","Zbigniew NiteckiClark Robinson","1980","http://link.springer.com/book/10.1007/BFb0086975","Book"
"Combinatorial Mathematics","Lecture Notes in Mathematics","","","","10.1007/BFb0057369","Derek A. Holton","1974","http://link.springer.com/book/10.1007/BFb0057369","Book"
"Combinatorial Mathematics III","Lecture Notes in Mathematics","","","","10.1007/BFb0069539","Dr. Anne Penfold StreetDr. Walter Denis Wallis","1975","http://link.springer.com/book/10.1007/BFb0069539","Book"
"Groups of Cohomological Dimension One","Lecture Notes in Mathematics","","","","10.1007/BFb0069645","Daniel E. Cohen","1972","http://link.springer.com/book/10.1007/BFb0069645","Book"
"Nonlinear Semigroups, Partial Differential Equations and Attractors","Lecture Notes in Mathematics","","","","10.1007/BFb0077409","Tepper L. GillWoodford W. Zachary","1987","http://link.springer.com/book/10.1007/BFb0077409","Book"
"Dynamical Systems","Lecture Notes in Mathematics","","","","10.1007/b13403","","2003","http://link.springer.com/book/10.1007/b13403","Book"
"Asymptotic Analysis of Soliton Problems","Lecture Notes in Mathematics","","","","10.1007/BFb0073054","Peter Cornelis Schuur","1986","http://link.springer.com/book/10.1007/BFb0073054","Book"
"Electrorheological Fluids: Modeling and Mathematical Theory","Lecture Notes in Mathematics","","","","10.1007/BFb0104029","Michael Růžička","2000","http://link.springer.com/book/10.1007/BFb0104029","Book"
"Quantum Probability and Applications III","Lecture Notes in Mathematics","","","","10.1007/BFb0078049","Luigi AccardiWilhelm von Waldenfels","1988","http://link.springer.com/book/10.1007/BFb0078049","Book"
"Topological Model Theory","Lecture Notes in Mathematics","","","","10.1007/BFb0097006","Jörg FlumMartin Ziegler","1980","http://link.springer.com/book/10.1007/BFb0097006","Book"
"Galerkin Finite Element Methods for Parabolic Problems","Lecture Notes in Mathematics","","","","10.1007/BFb0071790","Vidar Thomée","1984","http://link.springer.com/book/10.1007/BFb0071790","Book"
"Materials with Memory","Lecture Notes in Mathematics","","","","10.1007/BFb0096273","Hans-Dieter Alber","1998","http://link.springer.com/book/10.1007/BFb0096273","Book"
"Algebraic K-Theory","Lecture Notes in Mathematics","","","","10.1007/BFb0062163","R. Keith Dennis","1982","http://link.springer.com/book/10.1007/BFb0062163","Book"
"Quadratic Forms Over Semilocal Rings","Lecture Notes in Mathematics","","","","10.1007/BFb0070341","Ricardo Baeza","1978","http://link.springer.com/book/10.1007/BFb0070341","Book"
"Global Differential Geometry and Global Analysis","Lecture Notes in Mathematics","","","","10.1007/BFb0083621","Dirk FerusUlrich PinkallUdo SimonBerd Wegner","1991","http://link.springer.com/book/10.1007/BFb0083621","Book"
"Algebraic Geometry","Lecture Notes in Mathematics","","","","10.1007/BFb0065695","I. Dolgachev","1983","http://link.springer.com/book/10.1007/BFb0065695","Book"
"A Panorama of Discrepancy Theory","Lecture Notes in Mathematics","","","","10.1007/978-3-319-04696-9","William ChenAnand SrivastavGiancarlo Travaglini","2014","http://link.springer.com/book/10.1007/978-3-319-04696-9","Book"
"Laws of Large Numbers for Normed Linear Spaces and Certain Fréchet Spaces","Lecture Notes in Mathematics","","","","10.1007/BFb0069731","W. J. PadgettR. L. Taylor","1973","http://link.springer.com/book/10.1007/BFb0069731","Book"
"Riemann Surfaces, Theta Functions, and Abelian Automorphisms Groups","Lecture Notes in Mathematics","","","","10.1007/BFb0081273","Prof. Robert D. M. Accola","1975","http://link.springer.com/book/10.1007/BFb0081273","Book"
