Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Mathematical Analysis","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-0715-3","Andrew Browder","1996","http://link.springer.com/book/10.1007/978-1-4612-0715-3","Book"
"Topological and Uniform Spaces","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-4716-6","I. M. James","1987","http://link.springer.com/book/10.1007/978-1-4612-4716-6","Book"
"The Foundations of Geometry and the Non-Euclidean Plane","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-5725-7","George E. Martin","1975","http://link.springer.com/book/10.1007/978-1-4612-5725-7","Book"
"Notes on Set Theory","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4757-4153-7","Yiannis N. Moschovakis","1994","http://link.springer.com/book/10.1007/978-1-4757-4153-7","Book"
"A First Course in Analysis","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4419-8554-5","George Pedrick","1994","http://link.springer.com/book/10.1007/978-1-4419-8554-5","Book"
"An Invitation to Abstract Mathematics","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4614-6636-9","Béla Bajnok","2013","http://link.springer.com/book/10.1007/978-1-4614-6636-9","Book"
"Join Geometries","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4613-9438-9","Walter PrenowitzJames Jantosciak","1979","http://link.springer.com/book/10.1007/978-1-4613-9438-9","Book"
"Geometry: Euclid and Beyond","Undergraduate Texts in Mathematics","","","","10.1007/978-0-387-22676-7","Robin Hartshorne","2000","http://link.springer.com/book/10.1007/978-0-387-22676-7","Book"
"A First Course in the Mathematical Foundations of Thermodynamics","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4613-9505-8","David R. Owen","1984","http://link.springer.com/book/10.1007/978-1-4613-9505-8","Book"
"Functions of Several Variables","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4684-9461-7","Wendell Fleming","1977","http://link.springer.com/book/10.1007/978-1-4684-9461-7","Book"
"More Calculus of a Single Variable","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4939-1926-0","Peter R. Mercer","2014","http://link.springer.com/book/10.1007/978-1-4939-1926-0","Book"
"A First Course in Real Analysis","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4419-8744-0","Murray H. ProtterCharles B. Morrey Jr.","1991","http://link.springer.com/book/10.1007/978-1-4419-8744-0","Book"
"Vector Analysis","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4757-3478-2","Klaus Jänich","2001","http://link.springer.com/book/10.1007/978-1-4757-3478-2","Book"
"A First Course in Real Analysis","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4615-9990-6","M. H. ProtterC. B. Morrey Jr.","1977","http://link.springer.com/book/10.1007/978-1-4615-9990-6","Book"
"Introduction to Partial Differential Equations","Undergraduate Texts in Mathematics","","","","10.1007/978-3-319-02099-0","Peter J. Olver","2014","http://link.springer.com/book/10.1007/978-3-319-02099-0","Book"
"Rational Points on Elliptic Curves","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4757-4252-7","Joseph H. SilvermanJohn Tate","1992","http://link.springer.com/book/10.1007/978-1-4757-4252-7","Book"
"Transformation Geometry","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-5680-9","George E. Martin","1982","http://link.springer.com/book/10.1007/978-1-4612-5680-9","Book"
"A Field Guide to Algebra","Undergraduate Texts in Mathematics","","","","10.1007/b138364","Antoine Chambert-Loir","2005","http://link.springer.com/book/10.1007/b138364","Book"
"Elementary Analysis","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4614-6271-2","Kenneth A. Ross","2013","http://link.springer.com/book/10.1007/978-1-4614-6271-2","Book"
"Mathematical Expeditions","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-0523-4","Reinhard LaubenbacherDavid Pengelley","1999","http://link.springer.com/book/10.1007/978-1-4612-0523-4","Book"
"Elementary Probability Theory with Stochastic Processes","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4757-5114-7","Kai Lai Chung","1975","http://link.springer.com/book/10.1007/978-1-4757-5114-7","Book"
