Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Combinatorial Foundation of Homology and Homotopy","Springer Monographs in Mathematics","","","","10.1007/978-3-662-11338-7","Hans-Joachim Baues","1999","http://link.springer.com/book/10.1007/978-3-662-11338-7","Book"
"Complex Analysis on Infinite Dimensional Spaces","Springer Monographs in Mathematics","","","","10.1007/978-1-4471-0869-6","Seán Dineen PhD, DSc","1999","http://link.springer.com/book/10.1007/978-1-4471-0869-6","Book"
"Non-commutative Multiple-Valued Logic Algebras","Springer Monographs in Mathematics","","","","10.1007/978-3-319-01589-7","Lavinia Corina Ciungu","2014","http://link.springer.com/book/10.1007/978-3-319-01589-7","Book"
"Hankel Operators and Their Applications","Springer Monographs in Mathematics","","","","10.1007/978-0-387-21681-2","Vladimir Peller","2003","http://link.springer.com/book/10.1007/978-0-387-21681-2","Book"
"Hardy Spaces on the Euclidean Space","Springer Monographs in Mathematics","","","","10.1007/978-4-431-67905-9","Akihito Uchiyama","2001","http://link.springer.com/book/10.1007/978-4-431-67905-9","Book"
"Semigroups, Boundary Value Problems and Markov Processes","Springer Monographs in Mathematics","","","","10.1007/978-3-662-09857-8","Kazuaki Taira","2004","http://link.springer.com/book/10.1007/978-3-662-09857-8","Book"
"Inverse Galois Theory","Springer Monographs in Mathematics","","","","10.1007/978-3-662-12123-8","Gunter MalleB. Heinrich Matzat","1999","http://link.springer.com/book/10.1007/978-3-662-12123-8","Book"
"Constant Mean Curvature Surfaces with Boundary","Springer Monographs in Mathematics","","","","10.1007/978-3-642-39626-7","Rafael López","2013","http://link.springer.com/book/10.1007/978-3-642-39626-7","Book"
"Galois Theory of p-Extensions","Springer Monographs in Mathematics","","","","10.1007/978-3-662-04967-9","Helmut Koch","2002","http://link.springer.com/book/10.1007/978-3-662-04967-9","Book"
"Rational Number Theory in the 20th Century","Springer Monographs in Mathematics","","","","10.1007/978-0-85729-532-3","Władysław Narkiewicz","2012","http://link.springer.com/book/10.1007/978-0-85729-532-3","Book"
"High-dimensional Knot Theory","Springer Monographs in Mathematics","","","","10.1007/978-3-662-12011-8","Andrew Ranicki","1998","http://link.springer.com/book/10.1007/978-3-662-12011-8","Book"
"Methods of Homological Algebra","Springer Monographs in Mathematics","","","","10.1007/978-3-662-12492-5","Sergei I. GelfandYuri I. Manin","2003","http://link.springer.com/book/10.1007/978-3-662-12492-5","Book"
"On Some Aspects of the Theory of Anosov Systems","Springer Monographs in Mathematics","","","","10.1007/978-3-662-09070-1","Grigoriy A. Margulis","2004","http://link.springer.com/book/10.1007/978-3-662-09070-1","Book"
"Galois Cohomology","Springer Monographs in Mathematics","","","","10.1007/978-3-642-59141-9","Jean-Pierre Serre","1997","http://link.springer.com/book/10.1007/978-3-642-59141-9","Book"
"The Sherrington-Kirkpatrick Model","Springer Monographs in Mathematics","","","","10.1007/978-1-4614-6289-7","Dmitry Panchenko","2013","http://link.springer.com/book/10.1007/978-1-4614-6289-7","Book"
"Reciprocity Laws","Springer Monographs in Mathematics","","","","10.1007/978-3-662-12893-0","Franz Lemmermeyer","2000","http://link.springer.com/book/10.1007/978-3-662-12893-0","Book"
"Arithmetic of Quadratic Forms","Springer Monographs in Mathematics","","","","10.1007/978-1-4419-1732-4","Goro Shimura","2010","http://link.springer.com/book/10.1007/978-1-4419-1732-4","Book"
"Large Time Asymptotics for Solutions of Nonlinear Partial Differential Equations","Springer Monographs in Mathematics","","","","10.1007/978-0-387-87809-6","P.L. SachdevCh. Srinivasa Rao","2010","http://link.springer.com/book/10.1007/978-0-387-87809-6","Book"
"Extremal Polynomials and Riemann Surfaces","Springer Monographs in Mathematics","","","","10.1007/978-3-642-25634-9","Andrei Bogatyrev","2012","http://link.springer.com/book/10.1007/978-3-642-25634-9","Book"
"Discrete Integrable Systems","Springer Monographs in Mathematics","","","","10.1007/978-0-387-72923-7","J.J. Duistermaat","2010","http://link.springer.com/book/10.1007/978-0-387-72923-7","Book"
"Elementary and Analytic Theory of Algebraic Numbers","Springer Monographs in Mathematics","","","","10.1007/978-3-662-07001-7","Władysław Narkiewicz","2004","http://link.springer.com/book/10.1007/978-3-662-07001-7","Book"
"Normal Forms and Unfoldings for Local Dynamical Systems","Springer Monographs in Mathematics","","","","10.1007/b97515","James Murdock","2003","http://link.springer.com/book/10.1007/b97515","Book"
"Blocks of Finite Groups","Springer Monographs in Mathematics","","","","10.1007/978-3-662-11256-4","Lluís Puig","2002","http://link.springer.com/book/10.1007/978-3-662-11256-4","Book"
"Matched Asymptotic Expansions in Reaction-Diffusion Theory","Springer Monographs in Mathematics","","","","10.1007/978-0-85729-396-1","J. A. Leach BSc, PhDD. J. Needham BSc, PhD","2004","http://link.springer.com/book/10.1007/978-0-85729-396-1","Book"
"Class Field Theory","Springer Monographs in Mathematics","","","","10.1007/978-3-662-11323-3","Georges Gras","2003","http://link.springer.com/book/10.1007/978-3-662-11323-3","Book"
"Differential Equations with Operator Coefficients","Springer Monographs in Mathematics","","","","10.1007/978-3-662-11555-8","Vladimir KozlovVladimir Maz’ya","1999","http://link.springer.com/book/10.1007/978-3-662-11555-8","Book"
"Resolution of Singularities of Embedded Algebraic Surfaces","Springer Monographs in Mathematics","","","","10.1007/978-3-662-03580-1","Shreeram S. Abhyankar","1998","http://link.springer.com/book/10.1007/978-3-662-03580-1","Book"
"Nonstandard Analysis, Axiomatically","Springer Monographs in Mathematics","","","","10.1007/978-3-662-08998-9","Vladimir KanoveiMichael Reeken","2004","http://link.springer.com/book/10.1007/978-3-662-08998-9","Book"
"Unitals in Projective Planes","Springer Monographs in Mathematics","","","","10.1007/978-0-387-76366-8","Gary EbertSusan Barwick","2008","http://link.springer.com/book/10.1007/978-0-387-76366-8","Book"
"Semigroups, Boundary Value Problems and Markov Processes","Springer Monographs in Mathematics","","","","10.1007/978-3-662-43696-7","Kazuaki Taira","2014","http://link.springer.com/book/10.1007/978-3-662-43696-7","Book"
"Functional Analysis in Mechanics","Springer Monographs in Mathematics","","","","10.1007/b98851","L. P. LebedevI. I. Vorovich","2003","http://link.springer.com/book/10.1007/b98851","Book"
"Fixed Point Theory","Springer Monographs in Mathematics","","","","10.1007/978-0-387-21593-8","Andrzej GranasJames Dugundji","2003","http://link.springer.com/book/10.1007/978-0-387-21593-8","Book"
"p-Adic Automorphic Forms on Shimura Varieties","Springer Monographs in Mathematics","","","","10.1007/978-1-4684-9390-0","Haruzo Hida","2004","http://link.springer.com/book/10.1007/978-1-4684-9390-0","Book"
"Harnack's Inequality for Degenerate and Singular Parabolic Equations","Springer Monographs in Mathematics","","","","10.1007/978-1-4614-1584-8","Emmanuele DiBenedettoUgo GianazzaVincenzo Vespri","2012","http://link.springer.com/book/10.1007/978-1-4614-1584-8","Book"
"Joins and Intersections","Springer Monographs in Mathematics","","","","10.1007/978-3-662-03817-8","Hubert FlennerLiam O’CarrollWolfgang Vogel","1999","http://link.springer.com/book/10.1007/978-3-662-03817-8","Book"
"Hypergeometric Orthogonal Polynomials and Their q-Analogues","Springer Monographs in Mathematics","","","","10.1007/978-3-642-05014-5","Roelof KoekoekPeter A. LeskyRené F. Swarttouw","2010","http://link.springer.com/book/10.1007/978-3-642-05014-5","Book"
"Introduction to the Perturbation Theory of Hamiltonian Systems","Springer Monographs in Mathematics","","","","10.1007/978-3-642-03028-4","Dmitry TreschevOleg Zubelevich","2010","http://link.springer.com/book/10.1007/978-3-642-03028-4","Book"
"Solitons in Field Theory and Nonlinear Analysis","Springer Monographs in Mathematics","","","","10.1007/978-1-4757-6548-9","Yisong Yang","2001","http://link.springer.com/book/10.1007/978-1-4757-6548-9","Book"
"Combinatorial Algebra: Syntax and Semantics","Springer Monographs in Mathematics","","","","10.1007/978-3-319-08031-4","Mark V. Sapir","2014","http://link.springer.com/book/10.1007/978-3-319-08031-4","Book"
"Noncommutative Dynamics and E-Semigroups","Springer Monographs in Mathematics","","","","10.1007/978-0-387-21524-2","William Arveson","2003","http://link.springer.com/book/10.1007/978-0-387-21524-2","Book"
"Hardy Operators, Function Spaces and Embeddings","Springer Monographs in Mathematics","","","","10.1007/978-3-662-07731-3","David E. EdmundsW. Desmond Evans","2004","http://link.springer.com/book/10.1007/978-3-662-07731-3","Book"
"The Development of Prime Number Theory","Springer Monographs in Mathematics","","","","10.1007/978-3-662-13157-2","Władysław Narkiewicz","2000","http://link.springer.com/book/10.1007/978-3-662-13157-2","Book"
"Total Domination in Graphs","Springer Monographs in Mathematics","","","","10.1007/978-1-4614-6525-6","Michael A. HenningAnders Yeo","2013","http://link.springer.com/book/10.1007/978-1-4614-6525-6","Book"
"Cellular Automata and Groups","Springer Monographs in Mathematics","","","","10.1007/978-3-642-14034-1","Tullio Ceccherini-SilbersteinMichel Coornaert","2010","http://link.springer.com/book/10.1007/978-3-642-14034-1","Book"
"Superconcentration and Related Topics","Springer Monographs in Mathematics","","","","10.1007/978-3-319-03886-5","Sourav Chatterjee","2014","http://link.springer.com/book/10.1007/978-3-319-03886-5","Book"
"Complex Semisimple Lie Algebras","Springer Monographs in Mathematics","","","","10.1007/978-3-642-56884-8","Jean-Pierre Serre","2001","http://link.springer.com/book/10.1007/978-3-642-56884-8","Book"
"Mathematical Topics Between Classical and Quantum Mechanics","Springer Monographs in Mathematics","","","","10.1007/978-1-4612-1680-3","N. P. Landsman","1998","http://link.springer.com/book/10.1007/978-1-4612-1680-3","Book"
"Twelve Sporadic Groups","Springer Monographs in Mathematics","","","","10.1007/978-3-662-03516-0","Robert L. Griess Jr.","1998","http://link.springer.com/book/10.1007/978-3-662-03516-0","Book"
"Iterative Methods for Queuing and Manufacturing Systems","Springer Monographs in Mathematics","","","","10.1007/978-1-4471-3905-8","Wai Ki Ching","2001","http://link.springer.com/book/10.1007/978-1-4471-3905-8","Book"
"Local Multipliers of C*-Algebras","Springer Monographs in Mathematics","","","","10.1007/978-1-4471-0045-4","Prof. Dr. Pere AraDr. rer. nat. habil. Martin Mathieu","2003","http://link.springer.com/book/10.1007/978-1-4471-0045-4","Book"
"Vorticity, Statistical Mechanics, and Monte Carlo Simulation","Springer Monographs in Mathematics","","","","10.1007/978-0-387-49431-9","Chjan LimJoseph Nebus","2007","http://link.springer.com/book/10.1007/978-0-387-49431-9","Book"
"Fibrewise Homotopy Theory","Springer Monographs in Mathematics","","","","10.1007/978-1-4471-1265-5","Michael Charles CrabbIoan Mackenzie James","1998","http://link.springer.com/book/10.1007/978-1-4471-1265-5","Book"
"Algebraic Patching","Springer Monographs in Mathematics","","","","10.1007/978-3-642-15128-6","Moshe Jarden","2011","http://link.springer.com/book/10.1007/978-3-642-15128-6","Book"
"Convexity and Optimization in Banach Spaces","Springer Monographs in Mathematics","","","","10.1007/978-94-007-2247-7","Viorel BarbuTeodor Precupanu","2012","http://link.springer.com/book/10.1007/978-94-007-2247-7","Book"
"Foundations of Incidence Geometry","Springer Monographs in Mathematics","","","","10.1007/978-3-642-20972-7","Johannes Ueberberg","2011","http://link.springer.com/book/10.1007/978-3-642-20972-7","Book"
"Symplectic Amalgams","Springer Monographs in Mathematics","","","","10.1007/978-1-4471-0165-9","Christopher ParkerPeter Rowley","2002","http://link.springer.com/book/10.1007/978-1-4471-0165-9","Book"
"Discrete Integrable Systems","Springer Monographs in Mathematics","","","","10.1007/978-1-4419-9126-3","J.J. Duistermaat","2010","http://link.springer.com/book/10.1007/978-1-4419-9126-3","Book"
"Harmonic Analysis on Exponential Solvable Lie Groups","Springer Monographs in Mathematics","","","","10.1007/978-4-431-55288-8","Hidenori FujiwaraJean Ludwig","2015","http://link.springer.com/book/10.1007/978-4-431-55288-8","Book"
"Multiparameter Processes","Springer Monographs in Mathematics","","","","10.1007/b97363","Davar Khoshnevisan","2002","http://link.springer.com/book/10.1007/b97363","Book"
"Logical Foundations of Mathematics and Computational Complexity","Springer Monographs in Mathematics","","","","10.1007/978-3-319-00119-7","Pavel Pudlák","2013","http://link.springer.com/book/10.1007/978-3-319-00119-7","Book"
"Brownian Motion, Obstacles and Random Media","Springer Monographs in Mathematics","","","","10.1007/978-3-662-11281-6","Alain-Sol Sznitman","1998","http://link.springer.com/book/10.1007/978-3-662-11281-6","Book"
"Geometry and Topology of Configuration Spaces","Springer Monographs in Mathematics","","","","10.1007/978-3-642-56446-8","Edward R. FadellSufian Y. Husseini","2001","http://link.springer.com/book/10.1007/978-3-642-56446-8","Book"
"Probabilistic Diophantine Approximation","Springer Monographs in Mathematics","","","","10.1007/978-3-319-10741-7","József Beck","2014","http://link.springer.com/book/10.1007/978-3-319-10741-7","Book"
"Spherical Inversion on SL
            n
          (R)","Springer Monographs in Mathematics","","","","10.1007/978-1-4684-9302-3","Jay JorgensonSerge Lang","2001","http://link.springer.com/book/10.1007/978-1-4684-9302-3","Book"
"Nonlinear PDEs","Springer Monographs in Mathematics","","","","10.1007/978-3-642-22664-9","Marius GherguVicenţiu D. Rӑdulescu","2012","http://link.springer.com/book/10.1007/978-3-642-22664-9","Book"
"Implicit Functions and Solution Mappings","Springer Monographs in Mathematics","","","","10.1007/978-0-387-87821-8","Asen L. DontchevR. Tyrrell Rockafellar","2009","http://link.springer.com/book/10.1007/978-0-387-87821-8","Book"
"Combinatorial Set Theory","Springer Monographs in Mathematics","","","","10.1007/978-1-4471-2173-2","Lorenz J. Halbeisen","2012","http://link.springer.com/book/10.1007/978-1-4471-2173-2","Book"
"Structure and Geometry of Lie Groups","Springer Monographs in Mathematics","","","","10.1007/978-0-387-84794-8","Joachim HilgertKarl-Hermann Neeb","2012","http://link.springer.com/book/10.1007/978-0-387-84794-8","Book"
"Introduction to Tensor Products of Banach Spaces","Springer Monographs in Mathematics","","","","10.1007/978-1-4471-3903-4","Raymond A. Ryan","2002","http://link.springer.com/book/10.1007/978-1-4471-3903-4","Book"
"Strong Shape and Homology","Springer Monographs in Mathematics","","","","10.1007/978-3-662-13064-3","Sibe Mardešić","2000","http://link.springer.com/book/10.1007/978-3-662-13064-3","Book"
"Polytopes, Rings, and K-Theory","Springer Monographs in Mathematics","","","","10.1007/b105283","Joseph GubeladzeWinfried Bruns","2009","http://link.springer.com/book/10.1007/b105283","Book"
"Abstract Parabolic Evolution Equations and their Applications","Springer Monographs in Mathematics","","","","10.1007/978-3-642-04631-5","Atsushi Yagi","2010","http://link.springer.com/book/10.1007/978-3-642-04631-5","Book"
"Nonlinear Differential Equations of Monotone Types in Banach Spaces","Springer Monographs in Mathematics","","","","10.1007/978-1-4419-5542-5","Viorel Barbu","2010","http://link.springer.com/book/10.1007/978-1-4419-5542-5","Book"
"Nonarchimedean Functional Analysis","Springer Monographs in Mathematics","","","","10.1007/978-3-662-04728-6","Peter Schneider","2002","http://link.springer.com/book/10.1007/978-3-662-04728-6","Book"
"The Theory of Classical Valuations","Springer Monographs in Mathematics","","","","10.1007/978-1-4612-0551-7","Paulo Ribenboim","1999","http://link.springer.com/book/10.1007/978-1-4612-0551-7","Book"
"Functional Equations and Inequalities with Applications","Springer Monographs in Mathematics","","","","10.1007/978-0-387-89492-8","Palaniappan Kannappan","2009","http://link.springer.com/book/10.1007/978-0-387-89492-8","Book"
"Geometric Aspects of General Topology","Springer Monographs in Mathematics","","","","10.1007/978-4-431-54397-8","Katsuro Sakai","2013","http://link.springer.com/book/10.1007/978-4-431-54397-8","Book"
"Digraphs","Springer Monographs in Mathematics","","","","10.1007/978-1-84800-998-1","Prof. Jørgen Bang-JensenProf. Gregory Z. Gutin","2009","http://link.springer.com/book/10.1007/978-1-84800-998-1","Book"
"Positive Polynomials","Springer Monographs in Mathematics","","","","10.1007/978-3-662-04648-7","Alexander PrestelCharles N. Delzell","2001","http://link.springer.com/book/10.1007/978-3-662-04648-7","Book"
"Microlocal Analysis and Precise Spectral Asymptotics","Springer Monographs in Mathematics","","","","10.1007/978-3-662-12496-3","Victor Ivrii","1998","http://link.springer.com/book/10.1007/978-3-662-12496-3","Book"
"Introduction to Vortex Filaments in Equilibrium","Springer Monographs in Mathematics","","","","10.1007/978-1-4939-1938-3","Timothy D. AndersenChjan C. Lim","2014","http://link.springer.com/book/10.1007/978-1-4939-1938-3","Book"
"Max-linear Systems: Theory and Algorithms","Springer Monographs in Mathematics","","","","10.1007/978-1-84996-299-5","Peter Butkovič","2010","http://link.springer.com/book/10.1007/978-1-84996-299-5","Book"
"A Theory of Branched Minimal Surfaces","Springer Monographs in Mathematics","","","","10.1007/978-3-642-25620-2","Anthony Tromba","2012","http://link.springer.com/book/10.1007/978-3-642-25620-2","Book"
"Variational Methods in Nonlinear Field Equations","Springer Monographs in Mathematics","","","","10.1007/978-3-319-06914-2","Vieri BenciDonato Fortunato","2014","http://link.springer.com/book/10.1007/978-3-319-06914-2","Book"
"Analysis of Toeplitz Operators","Springer Monographs in Mathematics","","","","10.1007/978-3-662-02652-6","Dr. rer. nat. Albrecht BöttcherProf. Dr. sc. nat. Bernd Silbermann","1990","http://link.springer.com/book/10.1007/978-3-662-02652-6","Book"
"Groups Acting on Hyperbolic Space","Springer Monographs in Mathematics","","","","10.1007/978-3-662-03626-6","Jürgen ElstrodtFritz GrunewaldJens Mennicke","1998","http://link.springer.com/book/10.1007/978-3-662-03626-6","Book"
"Microstructured Materials: Inverse Problems","Springer Monographs in Mathematics","","","","10.1007/978-3-642-21584-1","Jaan JannoJüri Engelbrecht","2011","http://link.springer.com/book/10.1007/978-3-642-21584-1","Book"
"Von Karman Evolution Equations","Springer Monographs in Mathematics","","","","10.1007/978-0-387-87712-9","Igor ChueshovIrena Lasiecka","2010","http://link.springer.com/book/10.1007/978-0-387-87712-9","Book"
"Discrepancy of Signed Measures and Polynomial Approximation","Springer Monographs in Mathematics","","","","10.1007/978-1-4757-4999-1","Vladimir V. AndrievskiiHans-Peter Blatt","2002","http://link.springer.com/book/10.1007/978-1-4757-4999-1","Book"
"Positive Linear Maps of Operator Algebras","Springer Monographs in Mathematics","","","","10.1007/978-3-642-34369-8","Erling Størmer","2013","http://link.springer.com/book/10.1007/978-3-642-34369-8","Book"
"An Introduction to Echo Analysis","Springer Monographs in Mathematics","","","","10.1007/978-1-84628-852-4","Emeritus Professor G. F. Roach BSc;MSc; PhD; DSc; ScD; FRSE; FRAS; C.Math; FIMA; FRSA","2008","http://link.springer.com/book/10.1007/978-1-84628-852-4","Book"
"Approximation Theory and Harmonic Analysis on Spheres and Balls","Springer Monographs in Mathematics","","","","10.1007/978-1-4614-6660-4","Feng DaiYuan Xu","2013","http://link.springer.com/book/10.1007/978-1-4614-6660-4","Book"
"Fractal Geometry, Complex Dimensions and Zeta Functions","Springer Monographs in Mathematics","","","","10.1007/978-0-387-35208-4","Michel L. LapidusMachiel van Frankenhuijsen","2006","http://link.springer.com/book/10.1007/978-0-387-35208-4","Book"
"Weakly Wandering Sequences in Ergodic Theory","Springer Monographs in Mathematics","","","","10.1007/978-4-431-55108-9","Stanley EigenArshag HajianYuji ItoVidhu Prasad","2014","http://link.springer.com/book/10.1007/978-4-431-55108-9","Book"
"Fractal Geometry, Complex Dimensions and Zeta Functions","Springer Monographs in Mathematics","","","","10.1007/978-1-4614-2176-4","Michel L. LapidusMachiel van Frankenhuijsen","2013","http://link.springer.com/book/10.1007/978-1-4614-2176-4","Book"
"Functional Analysis in Mechanics","Springer Monographs in Mathematics","","","","10.1007/978-1-4614-5868-5","Leonid P. LebedevIosif I. VorovichMichael J. Cloud","2013","http://link.springer.com/book/10.1007/978-1-4614-5868-5","Book"
"Nonsmooth Variational Problems and Their Inequalities","Springer Monographs in Mathematics","","","","10.1007/978-0-387-46252-3","Siegfried CarlVy Le KhoiDumitru Motreanu","2007","http://link.springer.com/book/10.1007/978-0-387-46252-3","Book"
"Mittag-Leffler Functions, Related Topics and Applications","Springer Monographs in Mathematics","","","","10.1007/978-3-662-43930-2","Rudolf GorenfloAnatoly A. KilbasFrancesco MainardiSergei V. Rogosin","2014","http://link.springer.com/book/10.1007/978-3-662-43930-2","Book"
