Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Data Mining for Service","Studies in Big Data","","","","10.1007/978-3-642-45252-9","Katsutoshi Yada","2014","http://link.springer.com/book/10.1007/978-3-642-45252-9","Book"
"Molecular Computing","Studies in Big Data","","","","10.1007/978-3-319-05122-2","Weng-Long ChangAthanasios V. Vasilakos","2014","http://link.springer.com/book/10.1007/978-3-319-05122-2","Book"
"Data Mining and Knowledge Discovery for Big Data","Studies in Big Data","","","","10.1007/978-3-642-40837-3","Wesley W. Chu","2014","http://link.springer.com/book/10.1007/978-3-642-40837-3","Book"
"Astronomy and Big Data","Studies in Big Data","","","","10.1007/978-3-319-06599-1","Kieran Jay EdwardsMohamed Medhat Gaber","2014","http://link.springer.com/book/10.1007/978-3-319-06599-1","Book"
"Machine Learning for Adaptive Many-Core Machines - A Practical Approach","Studies in Big Data","","","","10.1007/978-3-319-06938-8","Noel LopesBernardete Ribeiro","2015","http://link.springer.com/book/10.1007/978-3-319-06938-8","Book"
"Information Granularity, Big Data, and Computational Intelligence","Studies in Big Data","","","","10.1007/978-3-319-08254-7","Witold PedryczShyi-Ming Chen","2015","http://link.springer.com/book/10.1007/978-3-319-08254-7","Book"
"Mastering Data-Intensive Collaboration and Decision Making","Studies in Big Data","","","","10.1007/978-3-319-02612-1","Nikos Karacapilidis","2014","http://link.springer.com/book/10.1007/978-3-319-02612-1","Book"
"Pocket Data Mining","Studies in Big Data","","","","10.1007/978-3-319-02711-1","Mohamed Medhat GaberFrederic StahlJoão Bártolo Gomes","2014","http://link.springer.com/book/10.1007/978-3-319-02711-1","Book"
"Big Data in Complex Systems","Studies in Big Data","","","","10.1007/978-3-319-11056-1","Aboul Ella HassanienAhmad Taher AzarVaclav SnasaelJanusz KacprzykJemal H. Abawajy","2015","http://link.springer.com/book/10.1007/978-3-319-11056-1","Book"
