Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Hydropower Economics","International Series In Operations Research & Management Science","","","","10.1007/978-0-387-73027-1","Finn R. Førsund","2007","http://link.springer.com/book/10.1007/978-0-387-73027-1","Book"
"Soft Computing For Complex Multiple Criteria Decision Making","International Series in Operations Research & Management Science","","","","10.1007/0-387-30177-1","Ignacy Kaliszewski","2006","http://link.springer.com/book/10.1007/0-387-30177-1","Book"
"Throughput Optimization in Robotic Cells","International Series in Operations Research & Management Science","","","","10.1007/0-387-70988-6","Milind W. DawandeH. Neil GeismarSuresh P. SethiChelliah Sriskandarajah","2007","http://link.springer.com/book/10.1007/0-387-70988-6","Book"
"The Theory of Search Games and Rendezvous","International Series in Operations Research & Management Science","","","","10.1007/b100809","Steve AlpernShmuel Gal","2003","http://link.springer.com/book/10.1007/b100809","Book"
"Multiple Criteria Optimization: State of the Art Annotated Bibliographic Surveys","International Series in Operations Research & Management Science","","","","10.1007/b101915","Matthias EhrgottXavier Gandibleux","2002","http://link.springer.com/book/10.1007/b101915","Book"
"Foreign-Exchange-Rate Forecasting With Artificial Neural Networks","International Series in Operations Research & Management Science","","","","10.1007/978-0-387-71720-3","Lean YuShouyang WangKin Keung Lai","2007","http://link.springer.com/book/10.1007/978-0-387-71720-3","Book"
"System Signatures and their Applications in Engineering Reliability","International Series In Operations Research & Management Science","","","","10.1007/978-0-387-71797-5","Francisco J. Samaniego","2007","http://link.springer.com/book/10.1007/978-0-387-71797-5","Book"
"Fuzzy Logic in Management","International Series in Operations Research & Management Science","","","","10.1007/978-1-4419-8977-2","Christer CarlssonMario FedrizziRobert Fullér","2004","http://link.springer.com/book/10.1007/978-1-4419-8977-2","Book"
"Evolutionary Optimization","International Series in Operations Research & Management Science","","","","10.1007/b101816","Ruhul SarkerMasoud MohammadianXin Yao","2002","http://link.springer.com/book/10.1007/b101816","Book"
"Time-Varying Network Optimization","International Series in Operations Research & Management Science","","","","10.1007/0-387-71215-1","Xiaoqiang CaiDan ShaC. K. Wong","2007","http://link.springer.com/book/10.1007/0-387-71215-1","Book"
"Markov Chains: Models, Algorithms and Applications","International Series in Operations Research & Management Science","","","","10.1007/0-387-29337-X","Wai-Ki ChingMichael K. Ng","2006","http://link.springer.com/book/10.1007/0-387-29337-X","Book"
"Perspectives in Modern Project Scheduling","International Series in Operations Research & Management Science","","","","10.1007/978-0-387-33768-5","Joanna JózefowskaJan Weglarz","2006","http://link.springer.com/book/10.1007/978-0-387-33768-5","Book"
"Uncertainty in the Electric Power Industry","International Series in Operations Research & Management Science","","","","10.1007/b100484","Christoph Weber","2005","http://link.springer.com/book/10.1007/b100484","Book"
"Proportional Optimization and Fairness","International Series in Operations Research & Management Science","","","","10.1007/978-0-387-87719-8","Wieslaw Kubiak","2009","http://link.springer.com/book/10.1007/978-0-387-87719-8","Book"
"Vacation Queueing Models Theory and Applications","International Series in Operations Research & Management Science","","","","10.1007/978-0-387-33723-4","Naishuo TianZhe George Zhang","2006","http://link.springer.com/book/10.1007/978-0-387-33723-4","Book"
"Tutorials on Emerging Methodologies and Applications in Operations Research","International Series in Operations Research & Management Science","","","","10.1007/b99770","H J. G","2005","http://link.springer.com/book/10.1007/b99770","Book"
"Operations Research in the Airline Industry","International Series in Operations Research & Management Science","","","","10.1007/978-1-4615-5501-8","Gang Yu","1998","http://link.springer.com/book/10.1007/978-1-4615-5501-8","Book"
"Principles of Mathematics in Operations Research","International Series in Operations Research & Management Science","","","","10.1007/978-0-387-37735-3","Levent Kandiller","2007","http://link.springer.com/book/10.1007/978-0-387-37735-3","Book"
"The Next Generation of Electric Power Unit Commitment Models","International Series in Operations Research & Management Science","","","","10.1007/b108628","Benjamin F. HobbsMichael H. RothkopfRichard P. O’NeillHung-po Chao","2001","http://link.springer.com/book/10.1007/b108628","Book"
"Real-Time Management of Resource Allocations Systems","International Series in Operations Research & Management Science","","","","10.1007/b104057","Spyros A. Reveliotis","2005","http://link.springer.com/book/10.1007/b104057","Book"
"Inventory Control","International Series in Operations Research & Management Science","","","","10.1007/0-387-33331-2","Sven Axsäter","2006","http://link.springer.com/book/10.1007/0-387-33331-2","Book"
"Integrated Methods for Optimization","International Series in Operations Research & Management Science","","","","10.1007/978-0-387-38274-6","John N. Hooker","2007","http://link.springer.com/book/10.1007/978-0-387-38274-6","Book"
"Handbook of Production Scheduling","International Series in Operations Research & Management Science","","","","10.1007/0-387-33117-4","Jeffrey W. Herrmann","2006","http://link.springer.com/book/10.1007/0-387-33117-4","Book"
"Evaluation and Decision Models with Multiple Criteria","International Series in Operations Research & Management Science","","","","10.1007/0-387-31099-1","Denis BouyssouThierry MarchantMarc PirlotAlexis TsoukiàsPhilippe Vincke","2006","http://link.springer.com/book/10.1007/0-387-31099-1","Book"
"Handbook on Data Envelopment Analysis","International Series in Operations Research & Management Science","","","","10.1007/b105307","William W. CooperLawrence M. SeifordJoe Zhu","2004","http://link.springer.com/book/10.1007/b105307","Book"
"Optimal Inventory Modeling of Systems","International Series in Operations Research & Management Science","","","","10.1007/b109856","Craig C. Sherbrooke Ph.D","2004","http://link.springer.com/book/10.1007/b109856","Book"
"Stochastic Linear Programming","International Series in Operations Research & Management Science","","","","10.1007/b105472","Peter KallJános Mayer","2005","http://link.springer.com/book/10.1007/b105472","Book"
"Handbook on Modelling for Discrete Optimization","International Series in Operations Research & Management Science","","","","10.1007/0-387-32942-0","Gautam AppaLeonidas PitsoulisH. Paul Williams","2006","http://link.springer.com/book/10.1007/0-387-32942-0","Book"
