Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Riemannian Geometry","Universitext","","","","10.1007/978-3-642-18855-8","Sylvestre GallotDominique HulinJacques Lafontaine","2004","http://link.springer.com/book/10.1007/978-3-642-18855-8","Book"
"A Course in Topological Combinatorics","Universitext","","","","10.1007/978-1-4419-7910-0","Mark de Longueville","2013","http://link.springer.com/book/10.1007/978-1-4419-7910-0","Book"
"Basic Theory of Ordinary Differential Equations","Universitext","","","","10.1007/978-1-4612-1506-6","Po-Fang HsiehYasutaka Sibuya","1999","http://link.springer.com/book/10.1007/978-1-4612-1506-6","Book"
"Notes on Geometry","Universitext","","","","10.1007/978-3-642-61777-5","Elmer G. Rees","1983","http://link.springer.com/book/10.1007/978-3-642-61777-5","Book"
"Mathematical Concepts of Quantum Mechanics","Universitext","","","","10.1007/978-3-642-21866-8","Stephen J. GustafsonIsrael Michael Sigal","2011","http://link.springer.com/book/10.1007/978-3-642-21866-8","Book"
"Riemannian Geometry and Geometric Analysis","Universitext","","","","10.1007/978-3-662-22385-7","Jürgen Jost","1998","http://link.springer.com/book/10.1007/978-3-662-22385-7","Book"
"Variational Methods in Theoretical Mechanics","Universitext","","","","10.1007/978-3-642-96312-4","Prof. J. T. OdenProf. J. N. Reddy","1976","http://link.springer.com/book/10.1007/978-3-642-96312-4","Book"
"Hamiltonian Structures and Generating Families","Universitext","","","","10.1007/978-1-4614-1499-5","Sergio Benenti","2011","http://link.springer.com/book/10.1007/978-1-4614-1499-5","Book"
"Composition Operators","Universitext: Tracts in Mathematics","","","","10.1007/978-1-4612-0887-7","Joel H. Shapiro","1993","http://link.springer.com/book/10.1007/978-1-4612-0887-7","Book"
"Dynamical Systems on Surfaces","Universitext","","","","10.1007/978-3-642-68626-9","Claude Godbillon","1983","http://link.springer.com/book/10.1007/978-3-642-68626-9","Book"
"Linear Algebra and Linear Models","Universitext","","","","10.1007/978-1-4471-2739-0","R.B. Bapat","2012","http://link.springer.com/book/10.1007/978-1-4471-2739-0","Book"
"Logic and Structure","Universitext","","","","10.1007/978-3-662-02382-2","Dirk van Dalen","1983","http://link.springer.com/book/10.1007/978-3-662-02382-2","Book"
"Graph Theory Applications","Universitext","","","","10.1007/978-1-4612-0933-1","L. R. Foulds","1992","http://link.springer.com/book/10.1007/978-1-4612-0933-1","Book"
"Programming for Mathematicians","Universitext","","","","10.1007/978-3-642-57129-9","Raymond Séroul","2000","http://link.springer.com/book/10.1007/978-3-642-57129-9","Book"
"Lectures on Partial Differential Equations","Universitext","","","","10.1007/978-3-662-05441-3","Vladimir I. Arnold","2004","http://link.springer.com/book/10.1007/978-3-662-05441-3","Book"
"A Geometrical Picture Book","Universitext","","","","10.1007/978-1-4419-8526-2","Burkard Polster","1998","http://link.springer.com/book/10.1007/978-1-4419-8526-2","Book"
"Algebraic Geometry over the Complex Numbers","Universitext","","","","10.1007/978-1-4614-1809-2","Donu Arapura","2012","http://link.springer.com/book/10.1007/978-1-4614-1809-2","Book"
"Linear Programming Duality","Universitext","","","","10.1007/978-3-642-58152-6","Achim BachemWalter Kern","1992","http://link.springer.com/book/10.1007/978-3-642-58152-6","Book"
"Stochastic Calculus in Manifolds","Universitext","","","","10.1007/978-3-642-75051-9","Michel Emery","1989","http://link.springer.com/book/10.1007/978-3-642-75051-9","Book"
"Algebras of Linear Transformations","Universitext","","","","10.1007/978-1-4613-0097-7","Douglas R. Farenick","2001","http://link.springer.com/book/10.1007/978-1-4613-0097-7","Book"
"Tools for Computational Finance","Universitext","","","","10.1007/978-3-662-22551-6","Rüdiger Seydel","2004","http://link.springer.com/book/10.1007/978-3-662-22551-6","Book"
"Introduction to Large Truncated Toeplitz Matrices","Universitext","","","","10.1007/978-1-4612-1426-7","Albrecht BöttcherBernd Silbermann","1999","http://link.springer.com/book/10.1007/978-1-4612-1426-7","Book"
"Nonstandard Methods in Fixed Point Theory","Universitext","","","","10.1007/978-1-4612-3444-9","Asuman Güven AksoyMohamed A. Khamsi","1990","http://link.springer.com/book/10.1007/978-1-4612-3444-9","Book"
"Singularity Theory and an Introduction to Catastrophe Theory","Universitext","","","","10.1007/978-1-4612-9909-7","Dr. Yung-Chen Lu","1976","http://link.springer.com/book/10.1007/978-1-4612-9909-7","Book"
"Mathematical Analysis I","Universitext","","","","10.1007/978-88-470-0876-2","Claudio CanutoAnita Tabacco","2008","http://link.springer.com/book/10.1007/978-88-470-0876-2","Book"
"Functional Analysis, Sobolev Spaces and Partial Differential Equations","Universitext","","","","10.1007/978-0-387-70914-7","Haim Brezis","2011","http://link.springer.com/book/10.1007/978-0-387-70914-7","Book"
"Riemannian Geometry and Geometric Analysis","Universitext","","","","10.1007/978-3-662-03118-6","Jürgen Jost","1995","http://link.springer.com/book/10.1007/978-3-662-03118-6","Book"
"Matrix Groups","Universitext","","","","10.1007/978-1-4612-5286-3","Morton L. Curtis","1984","http://link.springer.com/book/10.1007/978-1-4612-5286-3","Book"
"Geothermics","Universitext","","","","10.1007/978-3-642-69323-6","Dr. Günter Buntebarth","1984","http://link.springer.com/book/10.1007/978-3-642-69323-6","Book"
"Topics in Complex Analysis","Universitex: Tracts in Mathematics","","","","10.1007/978-1-4612-4042-6","Mats Andersson","1997","http://link.springer.com/book/10.1007/978-1-4612-4042-6","Book"
"Tools for Computational Finance","Universitext","","","","10.1007/978-1-4471-2993-6","Rüdiger U. Seydel","2012","http://link.springer.com/book/10.1007/978-1-4471-2993-6","Book"
"Representation Theory of Finite Groups","Universitext","","","","10.1007/978-1-4614-0776-8","Benjamin Steinberg","2012","http://link.springer.com/book/10.1007/978-1-4614-0776-8","Book"
"Groups and Symmetries","Universitext","","","","10.1007/978-0-387-78866-1","Yvette Kosmann-Schwarzbach","2010","http://link.springer.com/book/10.1007/978-0-387-78866-1","Book"
"Harmonic Analysis of Operators on Hilbert Space","Universitext","","","","10.1007/978-1-4419-6094-8","Béla Sz.-NagyCiprian FoiasHari BercoviciLászló Kérchy","2010","http://link.springer.com/book/10.1007/978-1-4419-6094-8","Book"
"Probability Essentials","Universitext","","","","10.1007/978-3-642-51431-9","Jean JacodPhilip Protter","2000","http://link.springer.com/book/10.1007/978-3-642-51431-9","Book"
"Option Theory with Stochastic Analysis","Universitext","","","","10.1007/978-3-642-18786-5","Fred Espen Benth","2004","http://link.springer.com/book/10.1007/978-3-642-18786-5","Book"
"Plane and Solid Geometry","Universitext","","","","10.1007/978-0-387-78241-6","J.M. Aarts","2008","http://link.springer.com/book/10.1007/978-0-387-78241-6","Book"
"Topology and Analysis","Universitext","","","","10.1007/978-1-4684-0627-6","B. BoossD. D. Bleecker","1985","http://link.springer.com/book/10.1007/978-1-4684-0627-6","Book"
"An Introduction to the Theory of Large Deviations","Universitext","","","","10.1007/978-1-4613-8514-1","D. W. Stroock","1984","http://link.springer.com/book/10.1007/978-1-4613-8514-1","Book"
"Stochastic Differential Equations","Universitext","","","","10.1007/978-3-662-03185-8","Bernt Øksendal","1995","http://link.springer.com/book/10.1007/978-3-662-03185-8","Book"
"Block Error-Correcting Codes","Universitext","","","","10.1007/978-3-642-18997-5","Sebastià Xambó-Descamps","2003","http://link.springer.com/book/10.1007/978-3-642-18997-5","Book"
