Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Probability on Compact Lie Groups","Probability Theory and Stochastic Modelling","","","","10.1007/978-3-319-07842-7","David Applebaum","2014","http://link.springer.com/book/10.1007/978-3-319-07842-7","Book"
"Stochastic Control Theory","Probability Theory and Stochastic Modelling","","","","10.1007/978-4-431-55123-2","Makiko Nisio","2015","http://link.springer.com/book/10.1007/978-4-431-55123-2","Book"
"Limit Theorems for Multi-Indexed Sums of Random Variables","Probability Theory and Stochastic Modelling","","","","10.1007/978-3-662-44388-0","Oleg Klesov","2014","http://link.springer.com/book/10.1007/978-3-662-44388-0","Book"
"Stochastic Integration in Banach Spaces","Probability Theory and Stochastic Modelling","","","","10.1007/978-3-319-12853-5","Vidyadhar MandrekarBarbara Rüdiger","2015","http://link.springer.com/book/10.1007/978-3-319-12853-5","Book"
